,GAME_ORDER,YEAR,DATE,GAME_NUMBER,WEEK,PLAYER,AGE,TEAM,OPPONENT,RESULT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RUSHING_1D,RUSHING_YBC,RUSHING_YBC_ATT,RUSHING_YAC,RUSHING_YAC_ATT,RUSHING_BRKTKL,RUSHING_ATT_BR,RECEIVING_TGT,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,RECEIVING_1D,RECEIVING_YBC,RECEIVING_YBC_R,RECEIVING_YAC,RECEIVING_YAC_R,RECEIVING_ADOT,RECEIVING_BRKTKL,RECEIVING_REC_BR,RECEIVING_DROP,RECEIVING_DROP_PCT,RECEIVING_INT,RECEIVING_RAT,PASSING_CMP,PASSING_ATT,PASSING_CMP_PCT,PASSING_YDS,PASSING_TD,PASSING_INT,PASSING_RATE,PASSING_SK,PASSING_YDS1,PASSING_Y_A,PASSING_AY_A
0,0.0,2018.0,2018-09-09,1.0,1.0,Christian McCaffrey,22.094,CAR,DAL,W 16-8,10.0,50.0,0.0,2.0,33.0,3.3,17.0,1.7,3.0,3.3,9.0,6.0,45.0,0.0,3.0,-1.0,-0.2,46.0,7.7,3.3,1.0,6.0,0.0,0.0,0.0,78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,2018.0,2018-09-16,2.0,2.0,Christian McCaffrey,22.101,CAR,ATL,L 24-31,8.0,37.0,0.0,2.0,16.0,2.0,21.0,2.6,1.0,8.0,15.0,14.0,102.0,0.0,6.0,6.0,0.4,96.0,6.9,-0.1,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,2018.0,2018-09-23,3.0,3.0,Christian McCaffrey,22.108,CAR,CIN,W 31-21,28.0,184.0,0.0,7.0,139.0,5.0,45.0,1.6,2.0,14.0,2.0,2.0,10.0,0.0,1.0,1.0,0.5,9.0,4.5,0.5,1.0,2.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,2018.0,2018-10-07,4.0,5.0,Christian McCaffrey,22.122,CAR,NYG,W 33-31,17.0,58.0,0.0,3.0,41.0,2.4,17.0,1.0,0.0,0.0,6.0,5.0,35.0,1.0,2.0,-11.0,-2.2,46.0,9.2,-1.0,0.0,0.0,0.0,0.0,0.0,130.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,2018.0,2018-10-14,5.0,6.0,Christian McCaffrey,22.129,CAR,WAS,L 17-23,8.0,20.0,0.0,0.0,15.0,1.9,5.0,0.6,0.0,0.0,8.0,7.0,46.0,0.0,2.0,8.0,1.1,38.0,5.4,3.0,0.0,0.0,0.0,0.0,0.0,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,2018.0,2018-10-21,6.0,7.0,Christian McCaffrey,22.136,CAR,PHI,W 21-17,7.0,29.0,0.0,2.0,21.0,3.0,8.0,1.1,0.0,0.0,6.0,6.0,51.0,0.0,1.0,-22.0,-3.7,73.0,12.2,-3.7,0.0,0.0,0.0,0.0,0.0,102.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,2018.0,2018-10-28,7.0,8.0,Christian McCaffrey,22.143,CAR,BAL,W 36-21,14.0,45.0,1.0,4.0,20.0,1.4,25.0,1.8,0.0,0.0,6.0,4.0,11.0,1.0,2.0,4.0,1.0,7.0,1.8,0.5,0.0,0.0,0.0,0.0,0.0,109.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,2018.0,2018-11-04,8.0,9.0,Christian McCaffrey,22.15,CAR,TAM,W 42-28,17.0,79.0,2.0,3.0,31.0,1.8,48.0,2.8,2.0,8.5,6.0,5.0,78.0,0.0,2.0,-4.0,-0.8,82.0,16.4,-0.7,1.0,5.0,0.0,0.0,0.0,118.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,2018.0,2018-11-08,9.0,10.0,Christian McCaffrey,22.154,CAR,PIT,L 21-52,14.0,77.0,1.0,4.0,45.0,3.2,32.0,2.3,1.0,14.0,5.0,5.0,61.0,2.0,2.0,4.0,0.8,57.0,11.4,0.8,0.0,0.0,0.0,0.0,0.0,157.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,2018.0,2018-11-18,10.0,11.0,Christian McCaffrey,22.164,CAR,DET,L 19-20,13.0,53.0,0.0,4.0,28.0,2.2,25.0,1.9,0.0,0.0,8.0,6.0,57.0,0.0,1.0,17.0,2.8,40.0,6.7,2.8,0.0,0.0,0.0,0.0,0.0,94.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
